DATE,PRCP,TAVG,TMAX,TMIN
2023-01-01,0.0,17.22222222222222,,12.222222222222221
2023-01-02,0.0,16.666666666666668,,
2023-01-03,0.0,15.555555555555555,,13.333333333333334
2023-01-04,0.01,16.11111111111111,,12.222222222222221
2023-01-05,0.0,16.666666666666668,,
2023-01-06,0.0,17.77777777777778,,13.333333333333334
2023-01-07,0.0,16.11111111111111,23.88888888888889,
2023-01-08,0.06,17.22222222222222,,12.222222222222221
2023-01-09,0.31,16.666666666666668,20.555555555555557,13.88888888888889
2023-01-10,0.14,16.11111111111111,18.333333333333332,14.444444444444445
2023-01-11,0.0,17.22222222222222,,14.444444444444445
2023-01-12,0.0,18.333333333333332,,14.444444444444445
2023-01-13,0.26,18.333333333333332,18.88888888888889,16.666666666666668
2023-01-14,0.01,19.444444444444443,,14.444444444444445
2023-01-15,0.27,11.666666666666666,26.11111111111111,9.444444444444445
2023-01-16,0.0,10.555555555555555,13.333333333333334,8.333333333333334
2023-01-17,0.0,12.777777777777779,,8.333333333333334
2023-01-18,0.0,12.222222222222221,,
2023-01-19,0.0,13.88888888888889,,9.444444444444445
2023-01-20,0.0,14.444444444444445,,10.555555555555555
2023-01-21,0.08,12.777777777777779,16.11111111111111,9.444444444444445
2023-01-22,0.25,14.444444444444445,,9.444444444444445
2023-01-23,0.0,15.555555555555555,,11.11111111111111
2023-01-24,0.0,11.11111111111111,17.77777777777778,5.555555555555555
2023-01-25,0.0,8.88888888888889,15.555555555555555,5.0
2023-01-26,0.0,13.333333333333334,,5.0
2023-01-27,0.0,11.11111111111111,,6.666666666666667
2023-01-28,0.0,8.333333333333334,16.666666666666668,5.555555555555555
2023-01-29,0.0,10.555555555555555,,5.555555555555555
2023-01-30,0.0,11.666666666666666,,6.666666666666667
2023-01-31,0.0,15.555555555555555,,7.222222222222222
2023-02-01,0.0,17.22222222222222,21.11111111111111,8.88888888888889
2023-02-02,0.0,15.0,21.11111111111111,
2023-02-03,0.0,15.0,19.444444444444443,11.11111111111111
2023-02-04,0.93,14.444444444444445,18.333333333333332,12.222222222222221
2023-02-05,1.11,14.444444444444445,,12.222222222222221
2023-02-06,0.02,16.666666666666668,,12.777777777777779
2023-02-07,0.0,15.555555555555555,20.555555555555557,13.333333333333334
2023-02-08,0.12,16.11111111111111,,12.777777777777779
2023-02-09,0.1,16.666666666666668,19.444444444444443,12.777777777777779
2023-02-10,0.1,15.555555555555555,19.444444444444443,13.333333333333334
2023-02-11,0.01,16.11111111111111,,13.333333333333334
2023-02-12,0.0,18.333333333333332,21.11111111111111,13.88888888888889
2023-02-13,0.0,17.77777777777778,,11.11111111111111
2023-02-14,0.0,12.222222222222221,26.666666666666668,10.0
2023-02-15,0.0,11.11111111111111,,7.777777777777778
2023-02-16,0.0,13.333333333333334,,7.777777777777778
2023-02-17,0.0,15.0,,8.88888888888889
2023-02-18,0.0,18.333333333333332,,10.555555555555555
2023-02-19,0.0,17.22222222222222,,12.777777777777779
2023-02-20,0.0,14.444444444444445,23.88888888888889,10.555555555555555
2023-02-21,0.0,12.777777777777779,,8.88888888888889
2023-02-22,0.0,13.88888888888889,17.77777777777778,8.88888888888889
2023-02-23,0.0,15.555555555555555,,10.0
2023-02-24,0.0,14.444444444444445,,10.555555555555555
2023-02-25,0.0,12.777777777777779,20.0,
2023-02-26,0.0,11.666666666666666,,7.777777777777778
2023-02-27,0.0,15.0,,7.777777777777778
2023-02-28,0.0,16.666666666666668,,9.444444444444445
2023-03-01,0.0,17.77777777777778,,12.777777777777779
2023-03-02,0.0,14.444444444444445,22.77777777777778,10.555555555555555
2023-03-03,0.0,15.0,,10.555555555555555
2023-03-04,0.0,16.11111111111111,,11.666666666666666
2023-03-05,0.0,16.11111111111111,,
2023-03-06,0.0,17.22222222222222,,11.666666666666666
2023-03-07,0.0,17.22222222222222,,12.222222222222221
